board_id,sprint_duration_days,number_of_issues,completed_issues_prev_sprint,velocity_prev_sprint,team_size,avg_story_points_per_member,velocity,sprint_duration_days,finished_on_time
0,14,5,11,16,4,7.330726610970219,30,14,1
0,14,8,5,30,4,9.44339069090034,37,14,1
0,14,13,8,37,4,6.877537047683277,28,14,1
0,14,8,13,28,4,9.108234255554176,37,14,1
0,14,12,8,37,4,9.1042196094532,36,14,1
0,14,10,12,36,4,9.570080706295448,37,14,1
0,14,10,10,37,4,9.02598931876962,39,14,1
1,10,6,11,16,5,5.470909834510164,28,10,0
1,10,7,5,28,5,6.36170994234753,32,10,1
1,10,9,7,32,5,8.592890766326894,39,10,1
1,10,15,9,39,5,9.887070059181076,47,10,1
1,10,17,15,47,5,10.0,57,10,1
1,10,18,17,57,5,9.254272272013694,49,10,1
1,10,13,18,49,5,9.396736029291926,52,10,1
2,14,5,11,16,7,6.051497328026511,39,14,1
2,14,9,5,39,7,7.751027918212892,52,14,1
2,14,17,9,52,7,8.129368125780113,60,14,1
2,14,16,17,60,7,8.174704138393398,60,14,1
2,14,14,16,60,7,8.406244119325036,60,14,1
2,14,15,14,60,7,8.11667608799943,60,14,1
2,14,21,15,60,7,8.298153404071922,60,14,1
3,10,6,11,16,6,5.448228803818659,36,10,0
3,10,8,5,36,6,9.2235048074294,56,10,1
3,10,17,8,56,6,9.510743549552592,58,10,1
3,10,20,17,58,6,9.869900283488464,60,10,1
3,10,21,20,60,6,10.0,60,10,1
3,10,16,21,60,6,9.734496961610201,60,10,1
3,10,23,16,60,6,9.629202680211788,60,10,1
4,10,5,11,16,5,5.077204713396616,29,10,0
4,10,8,4,29,5,6.965581066140638,34,10,1
4,10,10,8,34,5,7.27331208038004,41,10,1
4,10,11,10,41,5,9.079471242266465,46,10,1
4,10,15,11,46,5,10.0,52,10,1
4,10,14,15,52,5,10.0,57,10,1
4,10,19,14,57,5,10.0,52,10,1
5,14,5,11,16,5,6.4833014474537105,36,14,1
5,14,8,5,36,5,10.0,55,14,1
5,14,14,8,55,5,9.474733207081538,49,14,1
5,14,14,14,49,5,9.910807028639246,51,14,1
5,14,14,14,51,5,10.0,57,14,1
5,14,21,14,57,5,10.0,53,14,1
5,14,12,21,53,5,9.954752060806378,45,14,1
6,10,5,11,16,4,9.70541590924121,34,10,1
6,10,11,5,34,4,9.439490735821133,38,10,1
6,10,8,11,38,4,10.0,41,10,1
6,10,15,8,41,4,10.0,41,10,1
6,10,14,15,41,4,10.0,39,10,1
6,10,9,14,39,4,10.0,45,10,1
6,10,11,9,45,4,9.782737218728801,44,10,1
7,10,5,11,16,4,9.466512204992615,34,10,1
7,10,10,5,34,4,7.909750887877344,32,10,1
7,10,7,10,32,4,10.0,45,10,1
7,10,17,7,45,4,10.0,46,10,1
7,10,16,17,46,4,10.0,45,10,1
7,10,17,16,45,4,10.0,49,10,1
7,10,12,17,49,4,10.0,46,10,1
8,10,5,11,16,5,6.06284782316053,30,10,0
8,10,8,4,30,5,5.122141469054945,26,10,0
8,10,10,6,26,5,7.246192238847206,36,10,1
8,10,10,10,36,5,7.31963469123149,38,10,1
8,10,11,10,38,5,10.0,50,10,1
8,10,11,11,50,5,10.0,49,10,1
8,10,17,11,49,5,10.0,52,10,1
9,10,5,11,16,5,5.74475992505728,31,10,1
9,10,7,5,31,5,6.57381665251855,33,10,1
9,10,7,7,33,5,9.037276330402287,45,10,1
9,10,12,7,45,5,9.56872617395075,49,10,1
9,10,11,12,49,5,7.699576187201096,43,10,1
9,10,15,11,43,5,7.722861028582558,39,10,1
9,10,9,15,39,5,10.0,58,10,1
10,10,5,11,16,7,9.091292273290112,58,10,1
10,10,20,5,58,7,8.558633129649504,60,10,1
10,10,16,20,60,7,8.209035798062752,60,10,1
10,10,16,16,60,7,8.084981447504692,60,10,1
10,10,20,16,60,7,9.289349203998778,60,10,1
10,10,17,20,60,7,8.58905857649733,56,10,1
10,10,14,17,56,7,8.047847964457043,56,10,1
11,14,5,11,16,6,6.33506186797515,38,14,1
11,14,9,5,38,6,4.878085142680224,34,14,0
11,14,11,7,34,6,6.742167804083885,41,14,0
11,14,14,9,41,6,9.068785307371442,52,14,1
11,14,20,14,52,6,9.010583795072565,60,14,1
11,14,23,20,60,6,10.0,60,14,1
11,14,16,23,60,6,9.441043600068507,54,14,1
12,10,5,11,16,6,5.866923391834411,38,10,1
12,10,10,5,38,6,9.090571081476373,53,10,1
12,10,13,10,53,6,8.693295711208993,47,10,1
12,10,11,13,47,6,9.973305849237828,57,10,1
12,10,16,11,57,6,10.0,58,10,1
12,10,13,16,58,6,9.06009986953846,56,10,1
12,10,14,13,56,6,8.76599040749402,53,10,1
13,14,6,11,16,6,7.235927264683906,41,14,1
13,14,9,6,41,6,8.046449578821942,48,14,1
13,14,15,9,48,6,9.946458026522615,60,14,1
13,14,22,15,60,6,9.91813049480261,60,14,1
13,14,18,22,60,6,9.830461920412821,60,14,1
13,14,14,18,60,6,9.818213002785257,60,14,1
13,14,19,14,60,6,8.676881479122875,60,14,1
14,14,6,11,16,7,6.865358106504404,45,14,1
14,14,15,6,45,7,6.251576173116517,53,14,1
14,14,12,15,53,7,7.871390322817992,54,14,1
14,14,18,12,54,7,7.890666134334959,60,14,1
14,14,16,18,60,7,8.08796033139374,60,14,1
14,14,19,16,60,7,7.802734854752946,60,14,1
14,14,14,19,60,7,8.367686560224502,60,14,1
15,10,5,11,16,5,7.169068382894179,37,10,0
15,10,9,4,37,5,8.84724280183065,46,10,1
15,10,15,9,46,5,10.0,51,10,1
15,10,15,15,51,5,8.327768356898035,42,10,1
15,10,9,15,42,5,10.0,57,10,1
15,10,18,9,57,5,10.0,58,10,1
15,10,23,18,58,5,10.0,57,10,1
16,10,5,11,16,5,7.536776515660728,35,10,0
16,10,14,4,35,5,8.799321853553176,43,10,1
16,10,12,14,43,5,8.07071069446062,43,10,1
16,10,12,12,43,5,10.0,50,10,1
16,10,17,12,50,5,9.476141868154487,43,10,1
16,10,11,17,43,5,9.052118949819986,46,10,1
16,10,16,11,46,5,9.86845474150433,51,10,1
17,10,5,11,16,5,8.277357255574252,35,10,1
17,10,10,5,35,5,7.71651892868363,38,10,1
17,10,12,10,38,5,6.675708709751147,37,10,1
17,10,13,12,37,5,7.865036732564763,41,10,1
17,10,10,13,41,5,7.660188500441226,39,10,1
17,10,11,10,39,5,8.79036393424217,43,10,1
17,10,12,11,43,5,8.81915234879383,44,10,1
18,14,5,11,16,6,5.538557795807124,35,14,1
18,14,13,5,35,6,8.902589243325005,48,14,1
18,14,17,13,48,6,8.91741133258473,52,14,1
18,14,12,17,52,6,9.346971061303393,57,14,1
18,14,22,12,57,6,8.935091549642985,54,14,1
18,14,15,22,54,6,9.280014504768499,58,14,1
18,14,19,15,58,6,9.88339713390363,55,14,1
19,14,6,11,16,4,6.757854118356916,29,14,1
19,14,8,6,29,4,10.0,49,14,1
19,14,15,8,49,4,10.0,50,14,1
19,14,19,15,50,4,10.0,51,14,1
19,14,15,19,51,4,10.0,48,14,1
19,14,18,15,48,4,10.0,40,14,0
19,14,11,14,40,4,10.0,49,14,1
20,14,5,11,16,7,6.781498695355019,46,14,1
20,14,12,5,46,7,8.669184067111402,60,14,1
20,14,15,12,60,7,8.588789925555059,60,14,1
20,14,15,15,60,7,8.984867481039448,60,14,1
20,14,21,15,60,7,9.206374179891828,57,14,1
20,14,13,21,57,7,9.231012163822005,60,14,1
20,14,14,13,60,7,9.038769015698593,60,14,1
21,10,5,11,16,7,5.941639919242142,44,10,1
21,10,11,5,44,7,8.310516844477108,58,10,1
21,10,16,11,58,7,8.729351839222547,60,10,1
21,10,24,16,60,7,8.788782326427963,60,10,1
21,10,16,24,60,7,8.685140300516384,60,10,1
21,10,18,16,60,7,7.734436820240285,60,10,1
21,10,17,18,60,7,8.407898885190743,60,10,1
22,10,5,11,16,7,6.440040074598459,41,10,1
22,10,13,5,41,7,8.501131615841128,58,10,1
22,10,13,13,58,7,8.482185635128308,60,10,1
22,10,23,13,60,7,8.20583751525848,60,10,1
22,10,23,23,60,7,8.544358458142801,60,10,1
22,10,17,23,60,7,8.197304029025712,60,10,1
22,10,21,17,60,7,8.61849361990236,60,10,1
23,14,5,11,16,5,8.424589303456127,40,14,0
23,14,10,4,40,5,10.0,58,14,1
23,14,20,10,58,5,10.0,58,14,1
23,14,15,20,58,5,10.0,50,14,1
23,14,18,15,50,5,9.44567372417728,45,14,1
23,14,17,18,45,5,7.186675870457671,40,14,1
23,14,14,17,40,5,8.397444897753923,45,14,1
24,14,6,11,16,6,5.389440469663988,33,14,1
24,14,8,6,33,6,7.400073562993452,49,14,1
24,14,14,8,49,6,8.835033768699127,56,14,1
24,14,15,14,56,6,10.0,58,14,1
24,14,20,15,58,6,9.373328512523182,58,14,1
24,14,21,20,58,6,8.413343645371928,53,14,1
24,14,14,21,53,6,7.804441003134209,47,14,1
25,14,6,11,16,5,7.530821340680558,35,14,0
25,14,9,5,35,5,9.374708281943398,50,14,1
25,14,11,9,50,5,10.0,53,14,1
25,14,14,11,53,5,10.0,59,14,1
25,14,17,14,59,5,9.295938956636816,46,14,1
25,14,15,17,46,5,8.50692023334967,46,14,1
25,14,15,15,46,5,9.089430744279543,45,14,1
26,10,5,11,16,6,6.0482307496639125,35,10,0
26,10,8,4,35,6,8.226740109286723,51,10,1
26,10,11,8,51,6,7.983800463543922,50,10,1
26,10,12,11,50,6,10.0,60,10,1
26,10,22,12,60,6,10.0,57,10,1
26,10,14,22,57,6,8.522116666279878,54,10,1
26,10,13,14,54,6,8.46482049825034,51,10,1
27,14,5,11,16,5,6.433830431278096,28,14,0
27,14,11,4,28,5,7.697328633543773,39,14,1
27,14,11,11,39,5,7.947044934922382,41,14,1
27,14,11,11,41,5,9.779424302143953,46,14,1
27,14,10,11,46,5,8.655213252050252,45,14,1
27,14,10,10,45,5,9.825044649997572,47,14,1
27,14,13,10,47,5,10.0,48,14,1
28,14,5,11,16,4,5.523921847604715,23,14,0
28,14,8,4,23,4,4.665989147940534,19,14,1
28,14,7,8,19,4,6.736735841947487,26,14,0
28,14,8,6,26,4,9.3108853782017,36,14,1
28,14,13,8,36,4,10.0,41,14,1
28,14,11,13,41,4,10.0,44,14,1
28,14,12,11,44,4,10.0,42,14,1
29,10,5,11,16,5,5.966849627550545,28,10,1
29,10,7,5,28,5,8.868442927283064,50,10,0
29,10,14,6,50,5,10.0,51,10,1
29,10,12,14,51,5,9.573113431666675,43,10,1
29,10,16,12,43,5,8.67128203010917,46,10,1
29,10,11,16,46,5,8.738012326930367,46,10,1
29,10,13,11,46,5,9.469359101045097,44,10,1
30,14,5,11,16,6,5.509964295856628,37,14,1
30,14,11,5,37,6,6.778342497568994,45,14,1
30,14,11,11,45,6,9.398207681161619,54,14,1
30,14,15,11,54,6,8.754637395438209,59,14,1
30,14,17,15,59,6,9.021884094994567,58,14,0
30,14,15,14,58,6,9.364049720991087,59,14,1
30,14,17,15,59,6,9.232421846529839,56,14,1
31,10,6,11,16,7,8.232293603175966,53,10,1
31,10,18,6,53,7,7.746498006300464,58,10,1
31,10,20,18,58,7,10.0,60,10,1
31,10,19,20,60,7,8.49189322899516,60,10,1
31,10,14,19,60,7,9.156746906352435,60,10,1
31,10,20,14,60,7,8.907824510061223,60,10,0
31,10,20,16,60,7,8.412742575826082,60,10,1
32,10,6,11,16,4,4.8070209789780565,22,10,1
32,10,5,6,22,4,8.032520962211281,33,10,1
